No.,Channel Name,Channel Type,RX Frequency[MHz],TX Frequency[MHz],Power,Band Width,Scan List,TX Admit,Emergency System,Squelch Level,APRS Report Type,Forbid TX,APRS Receive,Forbid Talkaround,Auto Scan,Lone Work,Emergency Indicator,Emergency ACK,Analog APRS PTT Mode,Digital APRS PTT Mode,TX Contact,RX Group List,Color Code,Time Slot,Encryption,Encryption ID,APRS Report Channel,Direct Dual Mode,Private Confirm,Short Data Confirm,DMR ID,CTC/DCS Decode,CTC/DCS Encode,Scramble,RX Squelch Mode,Signaling Type,PTT ID,VOX Function,PTT ID Display
33,SAND FD,Analog,460.42500,460.42500,Low,12.5KHz,None,Always,None,3,Off,1,0,0,0,0,0,0,0,0,None,None,1,Slot 1,0,None,1,0,0,0,LiLI22,None,None,None,Carrier/CTC,None,OFF,0,0
34,WELLFL FD,Analog,453.18750,453.18750,Low,12.5KHz,None,Always,None,3,Off,1,0,0,0,0,0,0,0,0,None,None,1,Slot 1,0,None,1,0,0,0,LiLI22,None,None,None,Carrier/CTC,None,OFF,0,0
35,YARM FD,Analog,453.15000,453.15000,Low,12.5KHz,None,Always,None,3,Off,1,0,0,0,0,0,0,0,0,None,None,1,Slot 1,0,None,1,0,0,0,LiLI22,None,None,None,Carrier/CTC,None,OFF,0,0
36,NOAA WX,Analog,162.47500,162.47500,Low,25KHz,None,Always,None,3,Off,1,0,0,0,0,0,0,0,0,None,None,1,Slot 1,0,None,1,0,0,0,LiLI22,None,None,None,Carrier/CTC,None,OFF,0,0
37,2M CALL,Analog,146.52000,146.52000,Low,25KHz,None,Always,None,3,Off,0,0,0,0,0,0,0,0,0,None,None,1,Slot 1,0,None,1,0,0,0,LiLI22,None,None,None,Carrier/CTC,None,OFF,0,0
38,2M SIMP1,Analog,146.55000,146.55000,Low,25KHz,None,Always,None,3,Off,0,0,0,0,0,0,0,0,0,None,None,1,Slot 1,0,None,1,0,0,0,LiLI22,None,None,None,Carrier/CTC,None,OFF,0,0
39,2M SIMP2,Analog,147.42000,147.42000,Low,25KHz,None,Always,None,3,Off,0,0,0,0,0,0,0,0,0,None,None,1,Slot 1,0,None,1,0,0,0,LiLI22,None,None,None,Carrier/CTC,None,OFF,0,0
40,70CM CALL,Analog,446.00000,446.00000,Low,25KHz,None,Always,None,3,Off,0,0,0,0,0,0,0,0,0,None,None,1,Slot 1,0,None,1,0,0,0,LiLI22,None,None,None,Carrier/CTC,None,OFF,0,0
41,70CM SIM1,Analog,446.50000,446.50000,Low,25KHz,None,Always,None,3,Off,0,0,0,0,0,0,0,0,0,None,None,1,Slot 1,0,None,1,0,0,0,LiLI22,None,None,None,Carrier/CTC,None,OFF,0,0
42,70CM SIM2,Analog,447.00000,447.00000,Low,25KHz,None,Always,None,3,Off,0,0,0,0,0,0,0,0,0,None,None,1,Slot 1,0,None,1,0,0,0,LiLI22,None,None,None,Carrier/CTC,None,OFF,0,0
